Serial_number Axis Date Time Old_Cal_Offset New_Cal_Offset Diff_Cal_Offset
14kL-500694 1 2017-02-05 13:40:34 2.34760 3.62180 1.27420
14kL-500694 2 2017-02-05 13:40:57 6.27970 1.81290 -4.46680
14kL-500694 3 2017-02-05 13:41:23 0.74860 6.20350 5.45490
14kL-500694 4 2017-02-05 13:41:53 3.22870 2.97960 -0.24910
14kL-500694 5 2017-02-05 13:42:39 2.37310 2.68600 0.31290
14kL-500694 6 2017-02-05 13:43:15 2.73710 1.46830 -1.26880
14kL-500694 7 2017-02-05 13:43:39 2.25010 4.00300 1.75290
14kR-500694 1 2017-02-05 13:49:16 2.38700 4.44430 2.05730
14kR-500694 2 2017-02-05 13:49:38 5.23910 3.00080 -2.23830
14kR-500694 3 2017-02-05 13:50:05 3.85440 5.18870 1.33430
14kR-500694 4 2017-02-05 13:50:36 2.22410 3.46670 1.24260
14kR-500694 5 2017-02-05 13:51:22 4.75400 4.19210 -0.56190
14kR-500694 6 2017-02-05 13:51:56 2.41890 1.81390 -0.60500
14kR-500694 7 2017-02-05 13:52:21 1.35210 1.38700 0.03490
14kR-501161 1 2020-01-02 22:42:52 2.11550 2.11840 0.00290
14kR-501161 2 2020-01-02 22:43:17 5.00630 5.00800 0.00170
14kR-501161 3 2020-01-02 22:43:48 3.40400 3.40020 -0.00380
14kR-501161 4 2020-01-02 22:44:32 0.35510 0.33340 -0.02170
14kR-501161 5 2020-01-02 22:45:26 1.61000 1.61250 0.00250
14kR-501161 6 2020-01-02 22:45:57 5.27280 5.27110 -0.00170
14kR-501161 7 2020-01-02 22:46:23 0.47120 0.47210 0.00090
