Serial_number Axis Date Time Old_Cal_Offset New_Cal_Offset Diff_Cal_Offset
14kR-501161 1 2019-11-28 19:17:37 2.11760 2.11600 -0.00160
14kR-501161 2 2019-11-28 19:18:02 5.00650 5.00940 0.00290
14kR-501161 3 2019-11-28 19:18:34 3.40250 3.39910 -0.00340
14kR-501161 4 2019-11-28 19:19:07 0.33970 0.35080 0.01110
14kR-501161 5 2019-11-28 19:20:00 1.62310 1.61480 -0.00830
14kR-501161 6 2019-11-28 19:20:31 5.28090 5.27510 -0.00580
14kR-501161 7 2019-11-28 19:20:57 0.47390 0.47080 -0.00310
14kR-501161 1 2019-11-28 20:18:53 2.13280 2.11550 -0.01730
14kR-501161 2 2019-11-28 20:19:18 5.00730 5.00630 -0.00100
14kR-501161 3 2019-11-28 20:19:50 3.41810 3.40400 -0.01410
14kR-501161 4 2019-11-28 20:20:23 0.34420 0.35510 0.01090
14kR-501161 5 2019-11-28 20:21:16 1.75480 1.61000 -0.14480
14kR-501161 6 2019-11-28 20:21:47 5.30520 5.27280 -0.03240
14kR-501161 7 2019-11-28 20:22:13 0.48770 0.47120 -0.01650
